GroupName,Handle,Layer,TextContent,X,Y
"*A1","A0B4","(DUAL-TAGGING)","CLIENT LINE NUMBER",760.000,257.000
"*A1","691E","LINE NUMBER","225-QF-D2D6-Q1213",760.000,263.000
"*A10","6285","INSTRUMENT","",372.000,345.000
"*A10","58F8","INSTRUMENT","",438.000,306.000
"*A10","650C","INSTRUMENT","",417.000,333.000
"*A10","663B","INSTRUMENT","",429.000,350.000
"*A10","A357","(OPTION_3_DUAL_TAGS)","",510.000,337.000
"*A11","5C28","VALVE INFO","",400.000,280.000
"*A11","6285","INSTRUMENT","",372.000,345.000
"*A11","58F8","INSTRUMENT","",438.000,306.000
"*A11","650C","INSTRUMENT","",417.000,333.000
"*A11","A357","(OPTION_3_DUAL_TAGS)","",510.000,337.000
"*A11","663B","INSTRUMENT","",429.000,350.000
"*A12","AC94","(DUAL-TAGGING)","",660.000,479.000
"*A12","8DD1","INSTRUMENT","",660.000,493.000
"*A13","80EC","VALVE INFO","",287.000,297.000
"*A13","5C28","VALVE INFO","",400.000,280.000
"*A13","6285","INSTRUMENT","",372.000,345.000
"*A13","58F8","INSTRUMENT","",438.000,306.000
"*A13","650C","INSTRUMENT","",417.000,333.000
"*A13","A357","(OPTION_3_DUAL_TAGS)","",510.000,337.000
"*A13","663B","INSTRUMENT","",429.000,350.000
"*A14","5CC8","VALVE INFO","",320.000,296.000
"*A15","7493","LINE NUMBER","114-PG-C1C5-P0103",107.000,291.000
"*A16","8185","LINE NUMBER","33-FG-C2C5-P0106",107.000,446.000
"*A16","A0A7","(DUAL-TAGGING)","CLIENT LINE NUMBER",107.000,440.000
"*A17","8DBF","INSTRUMENT","",610.000,493.000
"*A17","CE8C","(DUAL-TAGGING)","",610.000,479.000
"*A18","AC77","(DUAL-TAGGING)","",560.000,507.000
"*A18","8DB6","INSTRUMENT","",560.000,493.000
"*A19","A235","(OPTION_3_DUAL_TAGS)","",566.000,342.000
"*A19","B4D6","(OPTION_3)","",552.000,342.000
"*A2","D935","(DUAL-TAGGING)","CLIENT VALVE INFO",655.524,147.296
"*A2","C6AF","VALVE INFO","",648.000,156.000
"*A20","B4D0","(OPTION_3)","",552.000,328.000
"*A20","A230","(OPTION_3_DUAL_TAGS)","",566.000,328.000
"*A21","A0AB","(DUAL-TAGGING)","CLIENT LINE NUMBER",760.000,217.000
"*A21","691C","LINE NUMBER","225-QF-D2D6-Q1212",760.000,223.000
"*A22","A527","(DUAL-TAGGING)","CLIENT VALVE INFO",658.000,141.000
"*A22","668F","VALVE INFO","",656.000,145.000
"*A23","91CB","TEXT1","UP QW-Q1221",209.250,125.000
"*A23","9146","TEXT1","UP GW-Q1226",141.250,125.000
"*A23","91A1","TEXT1","UP YW-Q1223",175.250,125.000
"*A23","920A","TEXT1","UP QW-Q1215",260.250,125.000
"*A23","DC69","(OPTION_9)","OPUF 24",188.042,95.046
"*A23","918C","TEXT1","UP LW-Q1224",158.250,125.000
"*A23","91E0","TEXT1","UP YW-Q1217",226.250,125.000
"*A23","91B6","TEXT1","UP YW-Q1222",192.250,125.000
"*A23","91F5","TEXT1","UP YW-Q1216",243.250,125.000
"*A3","A217","(OPTION_3_DUAL_TAGS)","",636.000,375.000
"*A3","B552","(OPTION_3)","",622.000,375.000
"*A4","B54D","(OPTION_3)","",636.000,342.000
"*A4","A212","(OPTION_3_DUAL_TAGS)","",650.000,342.000
"*A5","B4BD","(OPTION_3)","",526.000,336.000
"*A5","A25C","(OPTION_3_DUAL_TAGS)","",526.000,350.000
"*A6","A462","(DUAL-TAGGING)","",460.000,333.000
"*A6","6527","INSTRUMENT","",450.000,323.000
"*A7","8F05","VALVE INFO","",137.500,102.000
"*A7","A662","(DUAL-TAGGING)","CLIENT VALVE INFO",132.000,104.000
"*A8","AD6F","(OPTION_9_DUAL_TAGS)","CLIENT LINE NUMBER",233.000,263.000
"*A8","7E5E","(OPTION_9)","90-T-D2D6-J1215",227.000,263.000
"*A9","A23A","(OPTION_3_DUAL_TAGS)","",524.000,375.000
"*A9","B4DB","(OPTION_3)","",538.000,375.000
