GroupName,Handle,Layer,TextContent,X,Y
"*A10","6285","INSTRUMENT","",372.000,345.000
"*A10","58F8","INSTRUMENT","",438.000,306.000
"*A10","650C","INSTRUMENT","",417.000,333.000
"*A10","663B","INSTRUMENT","",429.000,350.000
"*A10","A357","(OPTION_3_DUAL_TAGS)","",510.000,337.000
"*A11","5C28","VALVE INFO","",400.000,280.000
"*A11","6285","INSTRUMENT","",372.000,345.000
"*A11","58F8","INSTRUMENT","",438.000,306.000
"*A11","650C","INSTRUMENT","",417.000,333.000
"*A11","A357","(OPTION_3_DUAL_TAGS)","",510.000,337.000
"*A11","663B","INSTRUMENT","",429.000,350.000
"*A13","80EC","VALVE INFO","",287.000,297.000
"*A13","5C28","VALVE INFO","",400.000,280.000
"*A13","6285","INSTRUMENT","",372.000,345.000
"*A13","58F8","INSTRUMENT","",438.000,306.000
"*A13","650C","INSTRUMENT","",417.000,333.000
"*A13","A357","(OPTION_3_DUAL_TAGS)","",510.000,337.000
"*A13","663B","INSTRUMENT","",429.000,350.000
"*A23","91CB","TEXT1","UP QW-Q1221",209.250,125.000
"*A23","9146","TEXT1","UP GW-Q1226",141.250,125.000
"*A23","91A1","TEXT1","UP YW-Q1223",175.250,125.000
"*A23","920A","TEXT1","UP QW-Q1215",260.250,125.000
"*A23","DC69","(OPTION_9)","OPUF 24",188.042,95.046
"*A23","918C","TEXT1","UP LW-Q1224",158.250,125.000
"*A23","91E0","TEXT1","UP YW-Q1217",226.250,125.000
"*A23","91B6","TEXT1","UP YW-Q1222",192.250,125.000
"*A23","91F5","TEXT1","UP YW-Q1216",243.250,125.000
